locus_tag,5GB1_FM40_T0m_TR2,5GB1_FM40_T10m_TR3,5GB1_FM40_T20m_TR2,5GB1_FM40_T40m_TR1,5GB1_FM40_T60m_TR1,5GB1_FM40_T90m_TR2,5GB1_FM40_T150m_TR1_remake,5GB1_FM40_T180m_TR1
MBURv2_260008,74.24227498720143,59.84949390159207,67.37686110476932,62.97185488285148,66.20179202102445,62.62351284426995,46.67667295423038,64.60322088273112
MBURv2_260009,165.63365175557183,129.17984128560062,149.5501958671579,130.42307353070646,136.08561341689173,121.3878557405722,112.54939148728249,128.72845025667388
MBURv2_260010,106.28410744017083,102.15858207660283,102.82218325225755,105.44103813979734,88.88777443790924,92.49863471209379,79.65352881801735,97.96180612508692
MBURv2_260011,242.70336343278072,214.61938831189687,259.5998714789201,280.5714058629286,228.01477604676407,293.7016649378402,251.28075353259754,300.6597503701527
MBURv2_260012,267.63472776657846,212.85608347834844,257.32267962384185,235.30320315688243,248.52278282392504,233.34476414428715,203.45139738953466,225.20515983891497
MBURv2_260013,234.2976988619749,230.23723112332598,230.99264879949965,230.730657428999,203.55743153757444,231.38070980056702,210.76249999842935,208.98459527173912
MBURv2_260014,122.15932340765963,133.7679528898823,120.87766247969226,121.66125115982315,119.5384297743869,144.99878652941746,154.04478367118287,155.02674740657542
MBURv2_260015,37.105614690401254,39.63391598342842,37.15452651161209,42.310730469204124,32.74017131669622,44.61743777300693,38.59592561437522,46.91580397009993
MBURv2_260016,61.75845433885979,79.23616613732602,69.40590068935295,63.04275812060589,60.646277236463945,80.69659614525371,81.41167003074534,84.30749364702352
MBURv2_260017,302.45845415009643,344.4365827562325,348.66666868355395,297.76305742103153,294.11595923433987,349.93437552006293,359.0415906913797,352.8531694896374
MBURv2_260018,148.60288138880165,171.86902698346887,165.6238245004798,145.50413631747713,153.46679644948307,195.47507117419076,174.59059677302696,189.0399778673591
